oid,filter,mjd,mag,magerr,clrcoeff,ref,ref_err,f_sci,f_sci_err,f_diff_corr,f_diff_corr_err,snr_corr,diff_sign,diff_mag,diff_mag_err
304204400005857,zr,58377.4557,18.554329,0.05828593,0.110546164,18.157,0.012,3.7867653975798e-08,2.0328615912640335e-09,3.196588235115794e-08,2.123187045132947e-09,15.055612940194981,1.0,18.738283258190243,0.07211504500487434
304204400005857,zr,58380.4451,18.476307,0.05494231,0.106176056,18.157,0.012,4.068901719456918e-08,2.059016349001059e-09,3.4787245569929124e-08,2.1482423757196223e-09,16.193352278639427,1.0,18.646449892570367,0.06704826684900315
304104400003613,zg,58380.48529,18.4895,0.053008273,-0.034900833,18.11,0.013,4.0197588496687185e-08,1.962543696743294e-09,3.4295816872047126e-08,2.0559607829456937e-09,16.681162966012188,1.0,18.661897121188723,0.0650875605597951
304204400005857,zr,58383.4172,18.388756,0.05143827,0.107863255,18.157,0.012,4.4105992572747726e-08,2.089583035577597e-09,3.820422094810767e-08,2.1775569434477534e-09,17.544533594431954,1.0,18.54472162981484,0.061884586382091454
304204400005857,zr,58386.42384,18.441643,0.05352431,0.10826007,18.157,0.012,4.200904415389621e-08,2.0709497318436847e-09,3.610727252925615e-08,2.159682794117522e-09,16.718785104740398,1.0,18.606013290164643,0.0649410945805077
304204400005857,zr,58387.47665,18.351868,0.05003707,0.11446308,18.157,0.012,4.563024493562184e-08,2.1029083767815287e-09,3.972847331098178e-08,2.1903471461213082e-09,18.137980265517918,1.0,18.50224530931953,0.05985981839566894
304104400003613,zg,58387.50465,18.1838,0.04302066,-0.029117966,18.11,0.013,5.3269669216884146e-08,2.110730320725155e-09,4.736789759224409e-08,2.1978579267578583e-09,21.551846921296786,1.0,18.311289727136717,0.05037787289057082
304104400003613,zg,58389.44164,18.344788,0.047952194,-0.01865331,18.11,0.013,4.5928768423508876e-08,2.0284717447695305e-09,4.002699679886882e-08,2.1189843318703845e-09,18.889708714145044,1.0,18.494117483805905,0.057477657341804614
304104400003613,zg,58389.46058,18.383694,0.049250674,-0.03212154,18.11,0.013,4.431210691567845e-08,2.010065725351215e-09,3.841033529103839e-08,2.1013712664866106e-09,18.278700153380598,1.0,18.53887975445023,0.05939898327821332
304104400003613,zg,58390.47326,18.335514,0.047649063,-0.024059864,18.11,0.013,4.632275705624132e-08,2.032939455858198e-09,4.0420985431601264e-08,2.12326159729998e-09,19.037214012160405,1.0,18.483482757340635,0.057032305465736406
304204400005857,zr,58397.46158,18.31772,0.04877832,0.09997564,18.157,0.012,4.7088190311232964e-08,2.1155072522739532e-09,4.1186418686592906e-08,2.2024458935028407e-09,18.700308964724986,1.0,18.46311492483524,0.05805980033838958
304104400003613,zg,58397.46304,18.2547,0.045107733,-0.098087914,18.11,0.013,4.990223533840898e-08,2.073226164775051e-09,4.4000463713768925e-08,2.161865793635605e-09,20.35300426293967,1.0,18.391356866326017,0.053345255114750904
304204400005857,zr,58422.36817,17.882454,0.035610586,0.098457396,18.157,0.012,7.031021079775651e-08,2.306073793357022e-09,6.440843917311646e-08,2.3860790682187967e-09,26.99342198295098,1.0,17.977643062726433,0.040222251385684984
304204400005857,zr,58422.36909,18.083881,0.04108281,0.103974976,18.157,0.012,5.840467344147144e-08,2.209954951849966e-09,5.250290181683138e-08,2.2933159112058725e-09,22.893881109133492,1.0,18.19954173157034,0.04742473325437932
304104400003613,zg,58422.44292,17.865423,0.035105657,-0.06805208,18.11,0.013,7.142180143844587e-08,2.3093171735750883e-09,6.552002981380582e-08,2.3892138429936887e-09,27.423258912525437,1.0,17.959064784072684,0.03959180082211983
304104400003613,zg,58422.44384,17.835556,0.034472622,-0.046182875,18.11,0.013,7.34137823626588e-08,2.3309212291967224e-09,6.751201073801875e-08,2.4101018144683835e-09,28.012099046077203,1.0,17.92654739261787,0.03875954468717957
